BOR;AN;FI;FI_EJ;DISCI;DIREC;DIRSI;ADMIN;DRSNI;ADMTO;CADRE;INFNS;INFSP;AIDES;ASHAU;PSYCH;SAGFE;REEDU;SOITO;EDUCS;ASSIS;EDUTO;PHLAB;TECHN;ETPPNM
Q24;2021;010010171;010011559;2000;2.79;;6.36;;9.15;3.26;17.01;;14.85;0.03;6.5;;2.05;43.7;1.36;0.14;1.5;;1.66;56.01
Q24;2021;010010171;010011559;2200;2.79;;6.36;;9.15;3.26;17.01;;14.85;0.03;6.5;;2.05;43.7;1.36;0.14;1.5;;1.66;56.01
Q24;2021;010010171;010011559;9999;2.79;;6.36;;9.15;3.26;17.01;;14.85;0.03;6.5;;2.05;43.7;1.36;0.14;1.5;;1.66;56.01
Q24;2021;010011641;010000222;2000;1.13;;10;;11.13;1;16.57;;10.89;14.91;0.89;;8.91;53.17;;0.85;0.85;0.47;2;67.62
Q24;2021;010011641;010000222;2400;1.13;;10;;11.13;1;16.57;;10.89;14.91;0.89;;8.91;53.17;;0.85;0.85;0.47;2;67.62
Q24;2021;010011641;010000222;9999;1.13;;10;;11.13;1;16.57;;10.89;14.91;0.89;;8.91;53.17;;0.85;0.85;0.47;2;67.62
Q24;2021;010780195;010000156;2000;1.79;1;31.4;;34.19;4.66;106.45;24.94;49.69;10.24;0.89;;0.66;197.53;;0.5;0.5;14.66;13.01;259.89
Q24;2021;010780195;010000156;2100;1.79;1;31.4;;34.19;4.66;106.45;24.94;49.69;10.24;0.89;;0.66;197.53;;0.5;0.5;14.66;13.01;259.89
Q24;2021;010780195;010000156;9999;1.79;1;31.4;;34.19;4.66;106.45;24.94;49.69;10.24;0.89;;0.66;197.53;;0.5;0.5;14.66;13.01;259.89
Q24;2021;010780203;010010718;1000;4.19;;29.87;;34.06;;;;;28.38;;;;28.38;;;;;;62.44
Q24;2021;010780203;010010718;2000;;0.76;3.41;;4.17;3.04;65.84;7.13;45.64;;;11.32;0.8;133.77;;1;1;5.62;8.58;153.14
Q24;2021;010780203;010010718;2100;;0.76;3.41;;4.17;3.04;65.84;7.13;45.64;;;11.32;0.8;133.77;;1;1;5.62;8.58;153.14
Q24;2021;010780203;010010718;9999;4.19;0.76;33.28;;38.23;3.04;65.84;7.13;45.64;28.38;;11.32;0.8;162.15;;1;1;5.62;8.58;215.58
Q24;2021;010780252;010783009;2000;2.97;;8.64;;11.61;4.6;10.51;;9.57;16.34;0.08;;10.25;51.35;0.5;0.5;1;1.22;8.75;73.93
Q24;2021;010780252;010783009;2400;2.97;;8.64;;11.61;4.6;10.51;;9.57;16.34;0.08;;10.25;51.35;0.5;0.5;1;1.22;8.75;73.93
Q24;2021;010780252;010783009;9999;2.97;;8.64;;11.61;4.6;10.51;;9.57;16.34;0.08;;10.25;51.35;0.5;0.5;1;1.22;8.75;73.93
Q24;2021;010780278;010783009;2000;4.08;;10.77;;14.85;3.2;21.5;;23.93;33.98;4.94;;18.7;106.25;0.5;2.17;2.67;1.53;9.77;135.07
Q24;2021;010780278;010783009;2400;4.08;;10.77;;14.85;3.2;21.5;;23.93;33.98;4.94;;18.7;106.25;0.5;2.17;2.67;1.53;9.77;135.07
Q24;2021;010780278;010783009;9999;4.08;;10.77;;14.85;3.2;21.5;;23.93;33.98;4.94;;18.7;106.25;0.5;2.17;2.67;1.53;9.77;135.07
Q24;2021;010780294;690000278;2000;0.19;;1.65;;1.84;0.99;11.1;;2.72;;;;;14.81;;;;0.42;0.21;17.28
Q24;2021;010780294;690000278;2100;0.19;;1.65;;1.84;0.99;11.1;;2.72;;;;;14.81;;;;0.42;0.21;17.28
Q24;2021;010780294;690000278;9999;0.19;;1.65;;1.84;0.99;11.1;;2.72;;;;;14.81;;;;0.42;0.21;17.28
Q24;2021;010780476;750005068;1000;1;;12.47;;13.47;1;;;;;;;;1;;;;;24.59;39.06
Q24;2021;010780476;750005068;2000;;;2.52;;2.52;0.99;15.36;;16.23;3.55;4.08;;3.98;44.19;20.59;1.78;22.37;;0;69.08
Q24;2021;010780476;750005068;2400;;;2.52;;2.52;0.99;15.36;;16.23;3.55;4.08;;3.98;44.19;20.59;1.78;22.37;;0;69.08
Q24;2021;010780476;750005068;9999;1;;14.99;;15.99;1.99;15.36;;16.23;3.55;4.08;;3.98;45.19;20.59;1.78;22.37;;24.59;108.14
Q24;2021;010780492;360000707;2000;3;;11.87;;14.87;2.15;13.04;4.1;42.89;4.73;3.28;;33.53;103.72;18.83;1.09;19.92;0.38;20.41;159.3
Q24;2021;010780492;360000707;2400;3;;11.87;;14.87;2.15;13.04;4.1;42.89;4.73;3.28;;33.53;103.72;18.83;1.09;19.92;0.38;20.41;159.3
Q24;2021;010780492;360000707;9999;3;;11.87;;14.87;2.15;13.04;4.1;42.89;4.73;3.28;;33.53;103.72;18.83;1.09;19.92;0.38;20.41;159.3
Q24;2021;010780708;310021381;2000;2.33;;5.81;;8.14;0.91;11.12;;11.88;14.94;0.3;;2.96;42.11;;0.5;0.5;;2.5;53.25
Q24;2021;010780708;310021381;2400;2.33;;5.81;;8.14;0.91;11.12;;11.88;14.94;0.3;;2.96;42.11;;0.5;0.5;;2.5;53.25
Q24;2021;010780708;310021381;9999;2.33;;5.81;;8.14;0.91;11.12;;11.88;14.94;0.3;;2.96;42.11;;0.5;0.5;;2.5;53.25
Q24;2021;010780799;750721334;2000;0.38;;3.21;;3.59;0.5;6.33;;8.2;2.2;0.2;;2.2;19.63;;0.5;0.5;0.52;4.14;28.38
Q24;2021;010780799;750721334;2400;0.38;;3.21;;3.59;0.5;6.33;;8.2;2.2;0.2;;2.2;19.63;;0.5;0.5;0.52;4.14;28.38
Q24;2021;010780799;750721334;9999;0.38;;3.21;;3.59;0.5;6.33;;8.2;2.2;0.2;;2.2;19.63;;0.5;0.5;0.52;4.14;28.38
Q24;2021;010789576;010780096;1000;0.06;;1.26;;1.32;;;;;;;;;;;;;;1.32;2.64
Q24;2021;010789576;010780096;2000;;;;;;;5.93;;8.68;6.22;0.1;;0.27;21.2;;0.1;0.1;0.48;;21.78
Q24;2021;010789576;010780096;2500;;;;;;;5.93;;8.68;6.22;0.1;;0.27;21.2;;0.1;0.1;0.48;;21.78
Q24;2021;010789576;010780096;9999;0.06;;1.26;;1.32;;5.93;;8.68;6.22;0.1;;0.27;21.2;;0.1;0.1;0.48;1.32;24.42
Q24;2021;020000089;020000022;1000;;;12.49;;12.49;2;3.07;;1.98;8.78;0;;0;15.83;;0.33;0.33;6.74;22;57.39
Q24;2021;020000089;020000022;2000;;;10;;10;2;44.16;;81.47;24.46;0.7;;1.93;154.72;;2.08;2.08;0;0;166.8
Q24;2021;020000089;020000022;2100;;;8;;8;1;20.24;;14.52;5.06;0.1;;0.23;41.15;;0.8;0.8;0;0;49.95
Q24;2021;020000089;020000022;2300;;;0.27;;0.27;1;4;;26.75;0;0;;0;31.75;;0.04;0.04;0;0;32.06
Q24;2021;020000089;020000022;2400;;;1.5;;1.5;0;12.2;;25.59;10.2;0.5;;1.35;49.84;;1.11;1.11;0;0;52.45
Q24;2021;020000089;020000022;2500;;;0.23;;0.23;0;7.72;;14.61;9.2;0.1;;0.35;31.98;;0.13;0.13;0;0;32.34
Q24;2021;020000089;020000022;9999;;;22.49;;22.49;4;47.23;;83.45;33.24;0.7;;1.93;170.55;;2.41;2.41;6.74;22;224.19
Q24;2021;020000097;020000048;1000;;;14.48;;14.48;0.33;3.84;;3.92;9.28;1;;0.15;18.52;1;;1;1.86;13.86;49.72
Q24;2021;020000097;020000048;2000;;;1.98;;1.98;2.11;27.04;;37.48;9.15;1.28;;0.85;77.91;1.63;1;2.63;;;82.52
Q24;2021;020000097;020000048;2100;;;1.18;;1.18;1.51;18.74;;26.36;5.1;0.28;;;51.99;;;;;;53.17
Q24;2021;020000097;020000048;2400;;;0.8;;0.8;0.6;8.3;;11.12;4.05;1;;0.85;25.92;1.63;1;2.63;;;29.35
Q24;2021;020000097;020000048;9999;;;16.46;;16.46;2.44;30.88;;41.4;18.43;2.28;;1;96.43;2.63;1;3.63;1.86;13.86;132.24
Q24;2021;020000105;020000055;1000;1.5;;6.86;;8.36;0.04;1.15;;0.1;3.52;;;0.1;4.91;;;;;16.68;29.95
Q24;2021;020000105;020000055;2000;;;1;;1;0.1;9.22;;14.01;4.62;0.42;;0.75;29.12;;0.24;0.24;;;30.36
Q24;2021;020000105;020000055;2100;;;0.35;;0.35;0.05;6.11;;8.77;2.31;0.21;;0.3;17.75;;0.12;0.12;;;18.22
Q24;2021;020000105;020000055;2400;;;0.65;;0.65;0.05;3.11;;5.24;2.31;0.21;;0.45;11.37;;0.12;0.12;;;12.14
Q24;2021;020000105;020000055;9999;1.5;;7.86;;9.36;0.14;10.37;;14.11;8.14;0.42;;0.85;34.03;;0.24;0.24;;16.68;60.31
Q24;2021;020000162;020000063;1000;8.75;1.5;140.69;;150.94;6.74;43.18;3.41;45.7;56.58;;;0.66;156.27;2.91;7.5;10.41;3.76;239.56;560.94
Q24;2021;020000162;020000063;2000;;;93.79;;93.79;20.28;414.43;71.72;335.13;141.66;14.84;29.98;21.38;1049.42;1;;1;103.66;43.98;1291.85
Q24;2021;020000162;020000063;2100;;;91.45;;91.45;18.68;391.95;71.72;308.47;128.84;12.8;29.98;7.71;970.15;1;;1;103.66;43.98;1210.24
Q24;2021;020000162;020000063;2400;;;2.34;;2.34;1.6;22.48;;26.66;12.82;2.04;;13.67;79.27;;;;;;81.61
Q24;2021;020000162;020000063;9999;8.75;1.5;234.48;;244.73;27.02;457.61;75.13;380.83;198.24;14.84;29.98;22.04;1205.69;3.91;7.5;11.41;107.42;283.54;1852.79
Q24;2021;020000246;020000071;1000;0.08;;7.53;;7.61;1;;;;1.5;0.33;;;2.83;;1;1;;16.13;27.57
Q24;2021;020000246;020000071;2000;;;;;;1;17.26;;26.79;14.16;0.67;;2.65;62.53;;;;;;62.53
Q24;2021;020000246;020000071;2100;;;;;;;9.23;;11.79;9.41;0.33;;2.65;33.41;;;;;;33.41
Q24;2021;020000246;020000071;2400;;;;;;1;8.03;;15;4.75;0.34;;;29.12;;;;;;29.12
Q24;2021;020000246;020000071;9999;0.08;;7.53;;7.61;2;17.26;;26.79;15.66;1;;2.65;65.36;;1;1;;16.13;90.1
Q24;2021;020000303;750814030;1000;5.01;0.2;39.43;;44.64;1.95;5.64;;4.94;2.87;;;1.96;17.36;;;;6.63;56.96;125.59
Q24;2021;020000303;750814030;2000;;;15.21;;15.21;8.32;115.19;;93.84;65.35;6.75;;47.11;336.56;;4.66;4.66;;3.01;359.44
