,Editeur,titres
3794,SOCIETE D'EXPLOITATION DU JOURNAL PAYSANS DE LA LOIRE,2
3261,PYRENEES PRESSE,2
3958,SOPREDA 2,2
825,CENTRE SEVRES-FACULTES JESUITES DE PARIS,2
736,BRETAGNE PUBLICATIONS,2
1085,DEUTSCHER FACHVERLAG GMBH,2
726,BOCAGE,2
3003,OCF,2
1004,CONGREGATION DU SAINT-ESPRIT,2
1896,GECOM,2
742,BUNTE ENTERTAINMENT VERLAG GMBH,2
3291,REGIE PRESSE ET PUB,2
715,BLUE PRINT,2
2997,Nidda-Verlag GmbH,2
2991,NUMERO PRESSE,2
701,BENAPRESSE,2
3703,SOCIETE ANONYME DE PRESSE ET D'EDITION DU SUD-OUEST (SAPESO),2
3300,REVEIL OUVRIER,2
3693,SOCIAL RH PUBLICATIONS,2
3742,SOCIETE D'EDITION DE REVUES,2
3259,PYC EDITION PUBLICATIONS YVES COLOMBOT,2
1464,Edition MIOT,2
3050,OXYGENE EDITIONS,2
3234,PUBLI- NEWS,2
805,CENTRE D'INFORMATION REGIONAL AGRO METEOROLOGIQUE - CIRAME,2
3058,PANDACRAFT,2
1838,FSU,2
1652,FEDERATION NATIONALE DE L'ACTION CATHOLIQUE DES ENFANTS,2
3055,PACK INFO PRESSE,2
786,CEDILLE,2
3054,PABEL-MOEWIG VERLAG KG,2
3781,SOCIETE D'EDITIONS RURALES PERIGORDINES (SERP),2
1055,CUSTOM PUBLISHING FRANCE,2
775,CAROLI MEDIA,2
3240,PUBLICATIONS AGORA France,2
765,CANAL SPORT,2
813,CENTRE FRANCE MAGAZINE,2
3756,SOCIETE D'EDITION ET DE PRESSE REDON-PLOERMEL,2
758,CAIRO EDITORE,2
820,CENTRE OUEST EDITIONS,2
1874,FUTURE PUBLISHING LTD,2
3687,SNUPFEN,2
1134,DPF VAD,2
1916,GLOBAL RETAIL NEWS,2
3917,SOCIETE NOUVELLE DE PRESSE DU GARD,2
1226,EDITIONS D'AVRON,2
1235,EDITIONS DE LA FFMC,2
3204,PRESSE NON STOP,2
1241,EDITIONS DE LA ROSE,2
652,B PUBLICATIONS,2
1942,GROUPE DE PRESSE IPM,2
1242,EDITIONS DE LA ROSE SOCIETE D'EXPLOITATION,2
3923,SOCIETE NOUVELLE DU JOURNAL L'HUMANITE,2
643,AXIS SANTE,2
3953,SONORCOM,2
1949,GROUPE HUGO EDITIONS,2
1253,EDITIONS DES TUILERIES,2
3200,PRESSE FEMININE DE PROXIMITE,2
1258,EDITIONS DU BAQUET,2
1260,EDITIONS DU CERF,2
3809,SOCIETE DE PRESSE ET D'EDITION OVINE ET CAPRINE (SPEOC),2
1015,CONSEIL NATIONAL DU RESEAU CER FRANCE,2
2953,NICE MATIN,2
3392,SE UNSA 19,2
3799,SOCIETE DE COMMUNICATION DU CUIR,2
3377,SE - UNSA,2
3929,SOCIETE OUEST FRANCE,2
1917,GLOBAL TRADE MEDIA,2
1140,DVV MEDIA GROUP GMBH,2
3326,ROSEBUD,2
1153,ECHO COMMUNICATION,2
679,BAUER VERTRIEBS KG,2
3337,RUSTICA,2
3646,SNUIPP,2
1925,GONG VERLAG GMBH,2
1169,EDI.M3,2
1171,EDICOM,2
1175,EDILAIX,2
1183,EDITAIR,2
669,BAUER CONSUMER MEDIA LIMITED,2
3870,SOCIETE FRANCAISE D'EDITION ET DE PRESSE - S.F.E.P.,2
661,BASES PUBLICATIONS,2
3629,SNUDI FO OISE,2
3946,SOLFE COMMUNICATIONS,2
3152,PETROSTRATEGIES,2
1389,EMC2,2
2240,JGP MEDIA,2
2523,LE TELEGRAMME,2
2422,LA REPUBLIQUE DU CENTRE,2
2751,MAGWEB,2
2750,MAGNIFICAT,2
2748,MAG FACTORY,2
2353,L'EVEIL DE LA HAUTE LOIRE,2
403,ASSOCIATION DIOCESAINE D'ARRAS,2
4642,VISION MEDIA GMBH,2
2152,INFODIUM,2
2151,INFOCUIR,2
2456,LE BERRY REPUBLICAIN,2
2457,LE BOIS NATIONAL - L'OFFICIEL DU BOIS,2
2673,LES PUBLICATIONS COMMERCIALES,2
407,ASSOCIATION DIOCESAINE DE BELLEY-ARS,2
2297,KLAMBT VERLAG GMBH & CO KG,2
47,A VIVRE EDITIONS,2
2626,LES EDITIONS DU PIAT,2
4610,VDP EDITIONS,2
108,AGENCE ECONOMIQUE ET FINANCIERE - AGEFI,2
4314,TV SPIELFILM VERLAG GMBH,2
2344,L'ELEPHANT,2
140,ALOHA EDITIONS,2
2467,LE COURRIER LIBERTE,2
416,ASSOCIATION DIOCESAINE DE LANGRES,2
112,AGRA,2
2802,MEDIA LOISIRS,2
2200,INVESTIR PUBLICATIONS,2
2356,L'INDEPENDANT DU MIDI,2
2622,LES EDITIONS DU LION,2
2379,LA COMMUNICATION INDUSTRIELLE ET PROFESSIONNELLE - CIP Médias,2
2606,LES EDITIONS DES REPUBLICAINS,2
4452,UNION DEPARTEMENTALE DES SYNDICATS CONFEDERES FORCE OUVRIERE DU VAL DE MARNE,2
379,ASSOCIATION DES PARALYSES DE FRANCE,2
4609,VASCO EDITIONS,2
2280,KEESING FRANCE,2
2281,KEIT VIMP BEV,2
4607,VALMONDE ET CIE,2
263,"ASSOCIATION ""ACTIF""",2
2170,INSTITUT COOPERATIF DE L'ECOLE MODERNE (I.C.E.M) - PEDAGOGIE FREINET,2
83,ACTION SPORTS MEDIA LTD,2
2378,LA COMMUNICATION INDUSTRIELLE ET PROFESSIONNELLE - CIP MÉDIAS,2
155,AMERICAN MEDIA INC,2
2266,JOURS DE PASSIONS,2
4545,UNION RATIONALISTE,2
2274,KALMBACH PUBLISHING CO,2
4622,VERLAG W SACHON GMBH + CO,2
2442,LA VOIX PROTESTANTE,2
4604,VAINCRE LA MUCOVISCIDOSE,2
4631,VERSICOLORS EDITIONS,2
2785,MCM PRESSE,2
2694,LIBRAIRIE PIERRE TEQUI,2
2164,INNOVAPRESSE & COMMUNICATION,2
4634,VF VERLAGSGESELLSCHAFT MBH,2
4464,UNION DES ASSOCIATIONS DIOCESAINES DE FRANCE,2
2803,MEDIA PARTNERS 360,2
2796,MEDIA ET JARDIN - GROUPE J,2
234,ARTCLAIR EDITIONS,2
121,AIR AGE MEDIA,2
2577,LES ECHOS,2
2725,LOURDES CANCER ESPERANCE,2
2403,LA MAISON ECOLOGIQUE SCOP,2
433,ASSOCIATION DIOCESAINE DE SAINT BRIEUC ET TREGUIER,2
2587,LES EDITIONS DE JARAWAK,2
2713,LMEDIA,2
429,ASSOCIATION DIOCESAINE DE REIMS,2
2226,JAR,2
2129,IMPRIMERIE NOUVELLE 03,2
232,ART PRESS,2
119,AIDES,2
216,ARCHEVECHE DE STRASBOURG,2
436,ASSOCIATION DIOCESAINE DE SAINT FLOUR,2
2323,L'AMI DU PEUPLE,2
2396,LA GAZETTE NORD PAS-DE-CALAIS,2
2735,LV QUOTIDIEN,2
2720,LOTUS PUBLISHING SRL,2
2488,LE MAUSOLEE,2
2513,LE QUOTIDIEN DE PARIS EDITIONS,2
2504,LE PETIT BLEU DE L'AGENAIS,2
